Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"PUMPKIN PIE MIX,CANNED",104.0,0.13,0.0,26.39,8.256540404040422,1.09,1
"PURSLANE,RAW",16.0,0.1,0.0,3.43,8.256540404040422,1.3,1
"PURSLANE,CKD,BLD,DRND,WO/SALT",18.0,0.19,0.0,3.55,8.256540404040422,1.49,1
"RADISHES,RAW",16.0,0.1,0.0,3.4,1.86,0.68,1
"RADISHES,ORIENTAL,RAW",18.0,0.1,0.0,4.1,2.5,0.6,1
"RADISHES,ORIENTAL,CKD,BLD,DRND,WO/SALT",17.0,0.24,0.0,3.43,1.83,0.67,1
"RADISHES,ORIENTAL,DRIED",271.0,0.72,0.0,63.37,37.32,7.9,0
"RUTABAGAS,RAW",36.0,0.2,0.0,8.13,5.6,1.2,1
"RUTABAGAS,CKD,BLD,DRND,WO/SALT",39.0,0.22,0.0,8.74,6.02,1.29,1
"SALSIFY,(VEG OYSTER),RAW",82.0,0.2,0.0,18.6,8.256540404040422,3.3,1
"SALSIFY,CKD,BLD,DRND,WO/SALT",68.0,0.17,0.0,15.36,2.9,2.73,1
"SAUERKRAUT,CND,SOL&LIQUIDS",19.0,0.14,0.0,4.28,1.78,0.91,1
"SEAWEED,AGAR,RAW",26.0,0.03,0.0,6.75,0.28,0.54,1
"SEAWEED,IRISHMOSS,RAW",49.0,0.16,0.0,12.29,0.61,1.51,1
"SEAWEED,KELP,RAW",43.0,0.56,0.0,9.57,0.6,1.68,1
"SEAWEED,LAVER,RAW",35.0,0.28,0.0,5.11,0.49,5.81,1
"SESBANIA FLOWER,RAW",27.0,0.04,0.0,6.73,8.256540404040422,1.28,1
"SESBANIA FLOWER,CKD,STMD,WO/SALT",22.0,0.05,0.0,5.23,8.256540404040422,1.14,1
"SOYBEANS,GREEN,RAW",147.0,6.8,0.0,11.05,8.256540404040422,12.95,1
"SOYBEANS,GRN,CKD,BLD,DRND,WO/SALT",141.0,6.4,0.0,11.05,8.256540404040422,12.35,1
"SOYBEANS,MATURE SEEDS,SPROUTED,RAW",122.0,6.7,0.0,9.57,8.256540404040422,13.09,1
"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD",81.0,4.45,0.0,6.53,0.52,8.47,1
"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED",125.0,7.1,0.0,9.4,8.256540404040422,13.1,1
"SPINACH,RAW",23.0,0.39,0.0,3.63,0.42,2.86,1
"SPINACH,CKD,BLD,DRND,WO/ SALT",23.0,0.26,0.0,3.75,0.43,2.97,1
"SPINACH,CND,REG PK,SOL&LIQUIDS",19.0,0.37,0.0,2.92,8.256540404040422,2.11,1
"SPINACH,CND,REG PK,DRND SOL",23.0,0.5,0.0,3.4,0.4,2.81,1
"SPINACH,FRZ,CHOPD OR LEAF,UNPREP",29.0,0.57,0.0,4.21,0.65,3.63,1
"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,WO/SALT",34.0,0.87,0.0,4.8,0.51,4.01,1
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",19.0,0.27,0.0,3.88,3.53,1.01,1
"SQUASH,SMMR,CROOKNECK & STRAIGHTNECK,CKD,BLD,DRND,WO/ SALT",23.0,0.39,0.0,3.79,2.48,1.04,1
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CND,DRND,SOLID,WO/SALT",13.0,0.07,0.0,2.96,1.19,0.61,1
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,UNPREP",20.0,0.14,0.0,4.8,8.256540404040422,0.83,1
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,WO/SALT",25.0,0.2,0.0,5.54,2.33,1.28,1
"SQUASH,SUMMER,SCALLOP,RAW",18.0,0.2,0.0,3.84,2.39,1.2,1
"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,WO/SALT",16.0,0.17,0.0,3.3,1.5,1.03,1
"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",17.0,0.32,0.0,3.11,2.5,1.21,1
"SQUASH,SMMR,ZUCCHINI,INCL SKN,CKD,BLD,DRND,WO/SALT",15.0,0.36,0.0,2.69,1.71,1.14,1
"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,UNPREP",17.0,0.13,0.0,3.59,1.71,1.16,1
"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,WO/SALT",17.0,0.13,0.0,3.56,1.69,1.15,1
"SQUASH,SMMR,ZUCCHINI,ITALIAN STYLE,CND",29.0,0.11,0.0,6.85,8.256540404040422,1.03,1
"SQUASH,WINTER,ACORN,RAW",40.0,0.1,0.0,10.42,8.256540404040422,0.8,1
"SQUASH,WNTR,ACORN,CKD,BKD,WO/SALT",56.0,0.14,0.0,14.58,8.256540404040422,1.12,1
"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT",34.0,0.08,0.0,8.79,8.256540404040422,0.67,1
"SQUASH,WNTR,BUTTERNUT,RAW",45.0,0.1,0.0,11.69,2.2,1.0,1
"SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT",40.0,0.09,0.0,10.49,1.97,0.9,1
"SQUASH,WNTR,BUTTERNUT,FRZ,UNPREP",57.0,0.1,0.0,14.41,2.83,1.76,1
"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO/SALT",39.0,0.07,0.0,10.05,8.256540404040422,1.23,1
"SQUASH,WINTER,HUBBARD,RAW",40.0,0.5,0.0,8.7,3.95,2.0,1
"SQUASH,WNTR,HUBBARD,BKD,WO/ SALT",50.0,0.62,0.0,10.81,4.9,2.48,1
"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,WO/SALT",30.0,0.37,0.0,6.46,2.93,1.48,1
"SQUASH,WNTR,SPAGHETTI,RAW",31.0,0.57,0.0,6.91,2.76,0.64,1
"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT",27.0,0.26,0.0,6.46,2.53,0.66,1
"SUCCOTASH,(CORN&LIMAS),RAW",99.0,1.02,0.0,19.59,8.256540404040422,5.03,1
"SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,WO/SALT",115.0,0.8,0.0,24.38,8.256540404040422,5.07,1
"SUCCOTASH,(CORN&LIMAS),CND,W/CRM STYLE CORN",77.0,0.54,0.0,17.61,8.256540404040422,2.64,1
"SUCCOTASH,(CORN&LIMAS),CND,W/WHL KERNEL CORN,SOL&LIQUIDS",63.0,0.49,0.0,13.98,8.256540404040422,2.6,1
"SUCCOTASH,(CORN&LIMAS),FRZ,UNPREP",93.0,0.89,0.0,19.94,8.256540404040422,4.31,1
"SUCCOTASH,(CORN&LIMAS),FRZ,CKD,BLD,DRND,WO/SALT",93.0,0.89,0.0,19.95,2.21,4.31,1
"SWAMP CABBAGE,(SKUNK CABBAGE),RAW",19.0,0.2,0.0,3.14,8.256540404040422,2.6,1
"SWAMP CABBAGE,CKD,BLD,DRND,WO/SALT",20.0,0.24,0.0,3.71,8.256540404040422,2.08,1
"SWEET POTATO LEAVES,RAW",35.0,0.3,0.0,6.38,8.256540404040422,4.0,1
"SWEET POTATO LEAVES,CKD,STMD,WO/ SALT",34.0,0.3,0.0,7.32,5.42,2.32,1
"SWEET POTATO,RAW,UNPREP",86.0,0.05,0.0,20.12,4.18,1.57,1
"SWEET POTATO,CKD,BKD IN SKN,WO/ SALT",90.0,0.15,0.0,20.71,6.48,2.01,1
"SWEET POTATO,CKD,BLD,WO/ SKN",76.0,0.14,0.0,17.72,5.74,1.37,1
"SWEETPOTATO,CND,VACUUM PK",91.0,0.2,0.0,21.12,5.0,1.65,1
"SWEET POTATO,CND,MSHD",101.0,0.2,0.0,23.19,5.45,1.98,1
"SWEET POTATO,FRZ,UNPREP",96.0,0.18,0.0,22.22,8.256540404040422,1.71,1
"SWEET POTATO,FRZ,CKD,BKD,WO/ SALT",100.0,0.12,0.0,23.4,9.17,1.71,1
"TARO,RAW",112.0,0.2,0.0,26.46,0.4,1.5,1
"TARO,COOKED,WITHOUT SALT",142.0,0.11,0.0,34.6,0.49,0.52,1
"TARO LEAVES,RAW",42.0,0.74,0.0,6.7,3.01,4.98,1
"TARO LEAVES,CKD,STMD,WO/SALT",24.0,0.41,0.0,4.02,8.256540404040422,2.72,1
"TARO SHOOTS,RAW",11.0,0.09,0.0,2.32,8.256540404040422,0.92,1
"TARO SHOOTS,CKD,WO/SALT",14.0,0.08,0.0,3.2,8.256540404040422,0.73,1
"TARO,TAHITIAN,RAW",44.0,0.97,0.0,6.91,8.256540404040422,2.79,1
"TARO,TAHITIAN,CKD,WO/SALT",44.0,0.68,0.0,6.85,8.256540404040422,4.16,1
"TOMATOES,GREEN,RAW",23.0,0.2,0.0,5.1,4.0,1.2,1
"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE",18.0,0.2,0.0,3.89,2.63,0.88,1
"TOMATOES,RED,RIPE,CKD",18.0,0.11,0.0,4.01,2.49,0.95,1
"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC",17.0,0.13,0.0,4.0,2.38,0.78,1
"TOMATOES,RED,RIPE,CND,STWD",26.0,0.19,0.0,6.19,3.52,0.91,1
"TOMATOES,RED,RIPE,CND,W/GRN CHILIES",15.0,0.08,0.0,3.62,8.256540404040422,0.69,1
"TOMATO JUC,CND,W/SALT",17.0,0.05,0.0,4.24,3.56,0.76,1
"TOMATO PRODUCTS,CND,PASTE,WO/ SALT ADDED",82.0,0.47,0.0,18.91,12.18,4.32,1
"TOMATO PRODUCTS,CND,PUREE,WO/SALT",38.0,0.21,0.0,8.98,4.83,1.65,1
TOMATO POWDER,302.0,0.44,0.0,74.68,43.9,12.91,0
"TOMATO PRODUCTS,CND,SAU",24.0,0.18,0.0,5.38,4.25,1.32,1
"TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS",35.0,0.13,0.0,8.43,5.77,1.45,1
"TOMATO PRODUCTS,CND,SAU,W/ONIONS",42.0,0.19,0.0,9.94,8.256540404040422,1.56,1
"TOMATO PRODUCTS,CND,SAU,W/HERBS&CHS",59.0,1.93,3.0,10.24,8.256540404040422,2.13,1
"TOMATO PRODUCTS,CND,SAU,W/ONIONS,GRN PEPPERS,&CELERY",41.0,0.74,0.0,8.77,7.36,0.94,1
"TOMATO PRODUCTS,CND,SAU,W/TOMATO TIDBITS",32.0,0.39,0.0,7.09,8.256540404040422,1.32,1
"TREE FERN,CKD,WO/SALT",40.0,0.07,0.0,10.98,8.256540404040422,0.29,1
"TURNIPS,RAW",28.0,0.1,0.0,6.43,3.8,0.9,1
"TURNIPS,CKD,BLD,DRND,WO/SALT",22.0,0.08,0.0,5.06,2.99,0.71,1
"TURNIPS,FROZEN,UNPREPARED",16.0,0.16,0.0,2.94,8.256540404040422,1.04,1
"TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT",23.0,0.24,0.0,4.35,2.35,1.53,1
"TURNIP GREENS,RAW",32.0,0.3,0.0,7.13,0.81,1.5,1
"TURNIP GRNS,CKD,BLD,DRND,WO/SALT",20.0,0.23,0.0,4.36,0.53,1.14,1
"TURNIP GRNS,CND,SOL&LIQUIDS",14.0,0.3,0.0,2.42,8.256540404040422,1.36,1
"TURNIP GRNS,FRZ,UNPREP",22.0,0.31,0.0,3.67,8.256540404040422,2.47,1
"TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT",29.0,0.42,0.0,4.98,0.75,3.35,1
"TURNIP GRNS&TURNIPS,FRZ,UNPREP",21.0,0.19,0.0,3.4,8.256540404040422,2.46,1
"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT",35.0,0.38,0.0,4.85,1.07,2.99,1
"VEGETABLE JUC COCKTAIL,CND",19.0,0.09,0.0,4.55,3.3,0.63,1
"VEGETABLES,MXD,CND,SOL&LIQUIDS",36.0,0.25,0.0,7.13,8.256540404040422,1.42,1
"VEGETABLES,MXD,CND,DRND SOL",49.0,0.25,0.0,9.26,2.41,2.59,1
"VEGETABLES,MXD,FRZ,UNPREP",64.0,0.52,0.0,13.46,8.256540404040422,3.33,1
"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO/SALT",65.0,0.15,0.0,13.09,3.12,2.86,1
"VINESPINACH,(BASELLA),RAW",19.0,0.3,0.0,3.4,8.256540404040422,1.8,1
"WATERCHESTNUTS,CHINESE,(MATAI),RAW",97.0,0.1,0.0,23.94,4.8,1.4,1
"WATERCHESTNUTS,CHINESE,CND,SOL&LIQUIDS",50.0,0.06,0.0,12.3,2.46,0.88,1
"WATERCRESS,RAW",11.0,0.1,0.0,1.29,0.2,2.3,1
"WAXGOURD,(CHINESE PRESERVING MELON),RAW",13.0,0.2,0.0,3.0,8.256540404040422,0.4,1
"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,WO/SALT",14.0,0.2,0.0,3.04,1.18,0.4,1
"WINGED BNS,IMMAT SEEDS,RAW",49.0,0.87,0.0,4.31,8.256540404040422,6.95,1
"WINGED BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",38.0,0.66,0.0,3.21,8.256540404040422,5.31,1
"WINGED BEAN LEAVES,RAW",74.0,1.1,0.0,14.1,8.256540404040422,5.85,1
"WINGED BEAN TUBER,RAW",148.0,0.9,0.0,28.1,8.256540404040422,11.6,1
"YAM,RAW",118.0,0.17,0.0,27.88,0.5,1.53,1
"YAM,CKD,BLD,DRND,OR BKD,WO/SALT",116.0,0.14,0.0,27.48,0.49,1.49,1
"YAMBEAN (JICAMA),RAW",38.0,0.09,0.0,8.82,1.8,0.72,1
"YAMBEAN (JICAMA),CKD,BLD,DRND,WO/SALT",38.0,0.09,0.0,8.82,8.256540404040422,0.72,1
"BEETS,HARVARD,CND,SOL&LIQUIDS",73.0,0.06,0.0,18.18,8.256540404040422,0.84,1
"BEETS,PICKLED,CND,SOL&LIQUIDS",65.0,0.08,0.0,16.28,13.59,0.8,1
"BORAGE,RAW",21.0,0.7,0.0,3.06,8.256540404040422,1.8,1
"BORAGE,CKD,BLD,DRND,WO/SALT",25.0,0.81,0.0,3.55,8.256540404040422,2.09,1
"CHIVES,FREEZE-DRIED",311.0,3.5,0.0,64.29,8.256540404040422,21.2,0
"DOCK,RAW",22.0,0.7,0.0,3.2,8.256540404040422,2.0,1
"DOCK,CKD,BLD,DRND,WO/SALT",20.0,0.64,0.0,2.93,8.256540404040422,1.83,1
"EPPAW,RAW",150.0,1.8,0.0,31.68,8.256540404040422,4.6,1
"DRUMSTICK PODS,RAW",37.0,0.2,0.0,8.53,8.256540404040422,2.1,1
"DRUMSTICK PODS,CKD,BLD,DRND,WO/ SALT",36.0,0.19,0.0,8.18,8.256540404040422,2.09,1
"KALE,SCOTCH,RAW",42.0,0.6,0.0,8.32,8.256540404040422,2.8,1
"KALE,SCOTCH,CKD,BLD,DRND,WO/SALT",28.0,0.41,0.0,5.63,8.256540404040422,1.9,1
"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",321.0,2.1,0.0,74.65,8.256540404040422,15.2,0
"PARSLEY,FREEZE-DRIED",271.0,5.2,0.0,42.38,8.256540404040422,31.3,1
"BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL",12.0,0.06,0.0,2.14,1.34,1.4,1
"PEPPERS,JALAPENO,CND,SOL&LIQUIDS",27.0,0.94,0.0,4.74,2.14,0.92,1
"PEPPERS,SWT,GRN,FREEZE-DRIED",314.0,3.0,0.0,68.7,38.48,17.9,0
"RADISHES,WHITE ICICLE,RAW",14.0,0.1,0.0,2.63,8.256540404040422,1.1,1
"SHALLOTS,FREEZE-DRIED",348.0,0.5,0.0,80.7,38.16,12.3,0
"SQUASH,SMMR,ALL VAR,RAW",16.0,0.18,0.0,3.35,2.2,1.21,1
"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,WO/SALT",20.0,0.31,0.0,4.31,2.59,0.91,1
"SQUASH,WNTR,ALL VAR,RAW",34.0,0.13,0.0,8.59,2.2,0.95,1
"SQUASH,WNTR,ALL VAR,CKD,BKD,WO/SALT",37.0,0.35,0.0,8.85,3.3,0.89,1
"SWEET POTATO,CND,SYRUP PK,SOL & LIQUIDS",89.0,0.2,0.0,20.93,15.4,0.98,1
"SWEET POTATO,CND,SYRUP PK,DRND SOL",108.0,0.32,0.0,25.36,5.74,1.28,1
"TOMATO PRODUCTS,CND,SAU,SPANISH STYLE",33.0,0.27,0.0,7.24,8.256540404040422,1.44,1
"BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW",62.0,0.9,0.0,11.6,8.256540404040422,5.25,1
"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",22.0,0.32,0.0,4.1,8.256540404040422,1.86,1
"CARROT JUICE,CANNED",40.0,0.15,0.0,9.28,3.91,0.95,1
"CORN PUDD,HOME PREP",131.0,5.04,72.0,16.97,6.59,4.42,1
"POTATOES,MSHD,HOME-PREPARED,WHL MILK ADDED",83.0,0.57,2.0,17.57,1.48,1.91,1
SPINACH SOUFFLE,169.0,12.95,118.0,5.9,1.85,7.89,1
"SWEET POTATO,CKD,CANDIED,HOME-PREPARED",144.0,3.25,8.0,27.86,8.256540404040422,0.87,1
"TOMATOES,RED,RIPE,CKD,STWD",79.0,2.68,0.0,13.05,8.256540404040422,1.96,1
"SEAWEED,AGAR,DRIED",306.0,0.3,0.0,80.88,2.97,6.21,0
"SEAWEED,SPIRULINA,RAW",26.0,0.39,0.0,2.42,8.256540404040422,5.92,1
"SEAWEED,SPIRULINA,DRIED",290.0,7.72,0.0,23.9,3.1,57.47,1
"SEAWEED,WAKAME,RAW",45.0,0.64,0.0,9.14,0.65,3.03,1
"PEPPERS,HOT CHILI,GRN,RAW",40.0,0.2,0.0,9.46,5.1,2.0,1
"POTATOES,O'BRIEN,HOME-PREPARED",81.0,1.28,4.0,15.47,8.256540404040422,2.35,1
POTATO PANCAKES,268.0,14.76,95.0,27.81,1.79,6.08,1
"POTATO,BKD,FLESH & SKN,WO/ SALT",93.0,0.13,0.0,21.15,1.18,2.5,1
"POTATOES,MICROWAVED,CKD IN SKN,FLESH&SKN,WO/SALT",105.0,0.1,0.0,24.24,8.256540404040422,2.44,1
"RADISH SEEDS,SPROUTED,RAW",43.0,2.53,0.0,3.6,8.256540404040422,3.81,1
"SHALLOTS,RAW",72.0,0.1,0.0,16.8,7.87,2.5,1
"CARROT,DEHYDRATED",341.0,1.49,0.0,79.57,38.82,8.1,0
"TOMATOES,CRUSHED,CANNED",32.0,0.28,0.0,7.29,4.4,1.64,1
"TOMATOES,ORANGE,RAW",16.0,0.19,0.0,3.18,8.256540404040422,1.16,1
"TOMATOES,YELLOW,RAW",15.0,0.26,0.0,2.98,8.256540404040422,0.98,1
"ARROWROOT,RAW",65.0,0.2,0.0,13.39,8.256540404040422,4.24,1
"CHRYSANTHEMUM LEAVES,RAW",24.0,0.56,0.0,3.01,8.256540404040422,3.36,1
"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",21.0,0.18,0.0,4.11,8.256540404040422,2.11,1
"ARROWHEAD,CKD,BLD,DRND,W/SALT",78.0,0.1,0.0,16.14,8.256540404040422,4.49,1
"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT",51.0,0.34,0.0,11.39,0.99,2.89,1
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",45.0,0.5,0.0,9.18,0.84,3.11,1
"ASPARAGUS,CKD,BLD,DRND,W/SALT",22.0,0.22,0.0,4.11,1.3,2.4,1
"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",15.0,0.18,0.0,2.48,1.0,1.8,1
"ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT",18.0,0.42,0.0,1.92,0.32,2.95,1
"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT",32.0,0.2,0.0,6.16,1.04,3.6,1
"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT",19.0,0.18,0.0,4.32,1.95,0.84,1
"BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT",11.0,0.22,0.0,1.52,8.256540404040422,1.53,1
"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",33.0,0.58,0.0,4.72,8.256540404040422,4.83,1
"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",123.0,0.32,0.0,23.64,1.63,6.81,1
"LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS",71.0,0.29,0.0,13.33,0.93,4.07,1
"LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,W/SALT",105.0,0.3,0.0,19.45,1.37,6.65,1
"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,W/SALT",103.0,0.34,0.0,19.32,1.34,6.07,1
"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",19.0,0.09,0.0,3.6,2.84,2.03,1
"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",78.0,0.81,0.0,15.01,8.256540404040422,7.07,1
"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",162.0,0.48,0.0,30.88,8.256540404040422,9.31,1
"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",20.0,0.32,0.0,3.5,8.256540404040422,1.86,1
"BEANS,SNAP,YELLOW,RAW",31.0,0.12,0.0,7.13,8.256540404040422,1.82,1
"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",35.0,0.28,0.0,7.88,1.55,1.89,1
"BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",35.0,0.28,0.0,7.88,1.55,1.89,1
"BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT",35.0,0.28,0.0,7.88,1.55,1.89,1
"BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS",15.0,0.1,0.0,3.5,8.256540404040422,0.8,1
"BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS",15.0,0.1,0.0,3.5,8.256540404040422,0.8,1
"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",15.0,0.1,0.0,3.5,8.256540404040422,0.8,1
"BEANS,SNAP,GRN,CND,NO SALT,DRND SOL",21.0,0.37,0.0,4.25,1.31,1.26,1
"BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP",33.0,0.21,0.0,7.58,8.256540404040422,1.8,1
"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",26.0,0.17,0.0,5.86,1.23,1.49,1
"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",28.0,0.17,0.0,6.45,1.23,1.49,1
"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",26.0,0.17,0.0,5.86,1.23,1.49,1
"BEETS,CKD,BOILED. DRND,W/SALT",44.0,0.18,0.0,9.96,7.96,1.68,1
"BEETS,CND,NO SALT,SOL&LIQUIDS",28.0,0.07,0.0,6.57,5.38,0.8,1
"BEET GRNS,CKD,BLD,DRND,W/SALT",27.0,0.2,0.0,5.46,0.6,2.57,1
"BORAGE,CKD,BLD,DRND,W/SALT",25.0,0.81,0.0,3.55,8.256540404040422,2.09,1
"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",62.0,0.5,0.0,10.1,8.256540404040422,4.8,1
"BROCCOLI,LEAVES,RAW",28.0,0.35,0.0,5.24,8.256540404040422,2.98,1
"BROCCOLI,FLOWER CLUSTERS,RAW",28.0,0.35,0.0,5.24,8.256540404040422,2.98,1
"BROCCOLI,STALKS,RAW",28.0,0.35,0.0,5.24,8.256540404040422,2.98,1
"BROCCOLI,CKD,BLD,DRND,W/SALT",35.0,0.41,0.0,7.18,1.39,2.38,1
"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",28.0,0.12,0.0,5.35,1.47,3.1,1
"BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,W/SALT",28.0,0.11,0.0,5.35,1.44,3.1,1
"BRUSSELS SPROUTS,CKD,BLD,DRND,W/SALT",36.0,0.5,0.0,7.1,1.74,2.55,1
"BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,W/SALT",42.0,0.39,0.0,8.32,2.08,3.64,1
"BURDOCK ROOT,CKD,BLD,DRND,W/SALT",88.0,0.14,0.0,21.15,3.55,2.09,1
"BUTTERBUR,CKD,BLD,DRND,W/SALT",8.0,0.02,0.0,2.16,8.256540404040422,0.23,1
"CABBAGE,COMMON,FRESHLY HARVEST,RAW",24.0,0.18,0.0,5.37,8.256540404040422,1.21,1
"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",24.0,0.18,0.0,5.37,8.256540404040422,1.21,1
"CABBAGE,COMMON,CKD,BLD,DRND,W/SALT",23.0,0.06,0.0,5.51,2.79,1.27,1
"CABBAGE,RED,CKD,BLD,DRND,W/SALT",29.0,0.09,0.0,6.94,3.32,1.51,1
"CABBAGE,SAVOY,CKD,BLD,DRND,W/SALT",24.0,0.09,0.0,5.41,8.256540404040422,1.8,1
"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,W/SALT",12.0,0.16,0.0,1.78,0.83,1.56,1
"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,W/SALT",14.0,0.17,0.0,2.41,8.256540404040422,1.5,1
"CARDOON,CKD,BLD,DRND,W/SALT",20.0,0.11,0.0,4.74,8.256540404040422,0.76,1
"CARROTS,CKD,BLD,DRND,W/SALT",35.0,0.18,0.0,8.22,3.45,0.76,1
"CARROTS,CND,NO SALT,SOL&LIQUIDS",23.0,0.14,0.0,5.36,2.46,0.59,1
"CARROTS,CND,NO SALT ,DRND SOL",25.0,0.19,0.0,5.54,2.48,0.64,1
"CARROTS,FRZ,CKD,BLD,DRND,W/SALT",37.0,0.68,0.0,7.73,4.08,0.58,1
"CAULIFLOWER,CKD,BLD,DRND,W/SALT",23.0,0.45,0.0,4.11,1.86,1.84,1
"CAULIFLOWER,FRZ,CKD,BLD,DRND,W/SALT",17.0,0.22,0.0,3.16,0.46,1.61,1
"CELERIAC,CKD,BLD,DRND,W/SALT",27.0,0.19,0.0,5.9,8.256540404040422,0.96,1
"CELERY,CKD,BLD,DRND,W/SALT",18.0,0.16,0.0,4.0,2.37,0.83,1
"CHARD,SWISS,CKD,BLD,DRND,W/SALT",20.0,0.08,0.0,4.13,1.1,1.88,1
"CHAYOTE,FRUIT,CKD,BLD,DRND,W/SALT",22.0,0.48,0.0,4.5,8.256540404040422,0.62,1
"CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,W/SALT",20.0,0.09,0.0,4.31,2.01,1.64,1
"COLLARDS,CKD,BLD,DRND,W/SALT",26.0,0.36,0.0,4.91,0.4,2.11,1
"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",36.0,0.41,0.0,7.1,0.57,2.97,1
"CORN,SWT,YEL,CKD,BLD,DRND,W/SALT",96.0,1.5,0.0,20.98,4.54,3.41,1
"CORN,SWT,YEL,CND,NO SALT,SOL&LIQUIDS",61.0,0.77,0.0,13.86,3.18,1.95,1
"CORN,SWT,YEL,CND,CRM STYLE,NO SALT",72.0,0.42,0.0,18.13,3.23,1.74,1
"CORN,SWT,YEL,CND,VACUUM PK,NO SALT",79.0,0.5,0.0,19.44,3.56,2.41,1
