Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"MILK,BUTTERMILK,DRIED",387.0,5.78,69.0,49.0,49.0,34.3,0
"MILK,CND,COND,SWTND",321.0,8.7,34.0,54.4,54.4,7.91,0
"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134.0,7.56,29.0,10.04,10.04,6.81,1
"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78.0,0.2,4.0,11.35,11.35,7.55,1
"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83.0,3.39,12.0,10.34,9.54,3.17,1
"MILK,CHOC,FLUID,COMM,RED FAT",76.0,1.9,8.0,12.13,9.55,2.99,1
"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",63.0,1.0,3.0,10.44,9.94,3.24,1
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77.0,2.34,8.0,10.74,9.66,3.52,1
"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69.0,4.14,11.0,4.45,4.45,3.56,1
"MILK,HUMAN,MATURE,FLUID",70.0,4.38,14.0,6.89,6.89,1.03,1
"MILK,INDIAN BUFFALO,FLUID",97.0,6.89,19.0,5.18,8.256540404040422,3.75,1
"MILK,SHEEP,FLUID",108.0,7.0,27.0,5.36,8.256540404040422,5.98,1
"MILK SHAKES,THICK CHOC",119.0,2.7,11.0,21.15,20.85,3.05,1
"MILK SHAKES,THICK VANILLA",112.0,3.03,12.0,17.75,17.75,3.86,1
"WHEY,ACID,FLUID",24.0,0.09,1.0,5.12,5.12,0.76,1
"WHEY,ACID,DRIED",339.0,0.54,3.0,73.45,73.45,11.73,0
"WHEY,SWEET,FLUID",27.0,0.36,2.0,5.14,5.14,0.85,1
"WHEY,SWEET,DRIED",353.0,1.07,6.0,74.46,74.46,12.93,0
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61.0,3.25,13.0,4.66,4.66,3.47,1
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63.0,1.55,6.0,7.04,7.04,5.25,1
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56.0,0.18,2.0,7.68,7.68,5.73,1
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85.0,1.25,5.0,13.8,13.8,4.93,1
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99.0,1.15,5.0,18.64,18.64,3.98,1
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102.0,1.08,4.0,19.05,19.05,4.37,1
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",105.0,1.41,6.0,18.6,8.256540404040422,4.86,1
"EGG,WHL,RAW,FRSH",143.0,9.51,372.0,0.72,0.37,12.56,1
"EGG,WHITE,RAW,FRESH",52.0,0.17,0.0,0.73,0.71,10.9,1
"EGG,YOLK,RAW,FRSH",322.0,26.54,1085.0,3.59,0.56,15.86,1
"EGG,YOLK,RAW,FROZEN",303.0,25.6,945.0,1.15,0.51,15.5,1
"EGG,YOLK,RAW,FRZ,SUGARED",307.0,22.75,959.0,10.8,8.256540404040422,13.8,1
"EGG,WHL,CKD,FRIED",196.0,14.84,401.0,0.83,0.4,13.61,1
"EGG,WHL,CKD,HARD-BOILED",155.0,10.61,373.0,1.12,1.12,12.58,1
"EGG,WHOLE,COOKED,OMELET",154.0,11.66,313.0,0.64,0.31,10.57,1
"EGG,WHL,CKD,POACHED",143.0,9.47,370.0,0.71,0.37,12.51,1
"EGG,WHL,CKD,SCRMBLD",149.0,10.98,277.0,1.61,1.39,9.99,1
"EGG,WHOLE,DRIED",594.0,40.95,1507.0,4.95,3.08,47.35,1
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615.0,43.95,2017.0,2.38,8.256540404040422,48.17,1
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351.0,0.04,0.0,4.17,4.17,76.92,1
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376.0,0.04,0.0,4.47,4.47,82.4,1
"EGG,YOLK,DRIED",666.0,55.8,2052.0,3.6,3.6,34.25,1
"EGG,DUCK,WHOLE,FRESH,RAW",185.0,13.77,884.0,1.45,0.93,12.81,1
"EGG,GOOSE,WHOLE,FRESH,RAW",185.0,13.27,852.0,1.35,0.94,13.87,1
"EGG,QUAIL,WHOLE,FRESH,RAW",158.0,11.09,844.0,0.41,0.4,13.05,1
"EGG,TURKEY,WHL,FRSH,RAW",171.0,11.88,933.0,1.15,8.256540404040422,13.68,1
"EGG SUBSTITUTE,POWDER",444.0,13.0,572.0,21.8,21.8,55.5,1
"BUTTER,WITHOUT SALT",717.0,81.11,215.0,0.06,0.06,0.85,0
"CHEESE,PARMESAN,SHREDDED",415.0,27.34,72.0,3.41,0.9,37.86,1
"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,0.08,2.0,4.96,5.09,3.37,1
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56.0,1.98,8.0,5.49,8.256540404040422,3.95,1
"MILK,CND,EVAP,W/ VIT A",134.0,7.56,29.0,10.04,8.256540404040422,6.81,1
"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362.0,0.77,20.0,51.98,51.98,36.16,0
"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358.0,0.72,18.0,52.19,52.19,35.1,0
"CHEESE,GOAT,HARD TYPE",452.0,35.59,105.0,2.17,2.17,30.52,1
"CHEESE,GOAT,SEMISOFT TYPE",364.0,29.84,79.0,2.54,2.54,21.58,1
"CHEESE,GOAT,SOFT TYPE",268.0,21.08,46.0,0.89,0.89,18.52,1
"EGG,YOLK,RAW,FRZ,SALTED",274.0,23.0,955.0,1.6,8.256540404040422,14.0,1
"CHEESE SUB,MOZZARELLA",248.0,12.22,0.0,23.67,23.67,11.47,1
CHEESE FONDUE,229.0,13.47,45.0,3.77,8.256540404040422,14.23,1
"CHEESE SAU,PREP FROM RECIPE",197.0,14.92,38.0,5.48,0.19,10.33,1
"CHEESE,MEXICAN,QUESO ANEJO",373.0,29.98,105.0,4.63,4.63,21.44,1
"CHEESE,MEXICAN,QUESO ASADERO",356.0,28.26,105.0,2.87,2.87,22.6,1
"CHEESE,MEXICAN,QUESO CHIHUAHUA",374.0,29.68,105.0,5.56,5.56,21.56,1
"CHEESE,LOFAT,CHEDDAR OR COLBY",173.0,7.0,21.0,1.91,0.52,24.35,1
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398.0,32.62,100.0,1.91,0.49,24.35,1
"EGG,WHOLE,RAW,FROZEN",148.0,10.2,432.0,1.05,8.256540404040422,11.95,1
"EGG,WHITE,RAW,FROZEN",47.0,0.0,0.0,1.05,8.256540404040422,9.8,1
"EGG,WHITE,DRIED",382.0,0.0,0.0,7.8,5.4,81.1,1
"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",50.0,1.98,8.0,4.8,5.06,3.3,1
"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",42.0,0.97,5.0,4.99,5.2,3.37,1
"SOUR CREAM,REDUCED FAT",181.0,14.1,35.0,7.0,0.3,7.0,1
"SOUR CREAM,LIGHT",138.0,10.6,35.0,7.1,0.22,3.5,1
"SOUR CREAM,FAT FREE",74.0,0.0,9.0,15.6,0.39,3.1,1
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282.0,18.3,56.0,2.0,0.58,27.2,1
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",43.0,0.18,2.0,7.5,7.5,3.86,1
"PARMESAN CHS TOPPING,FAT FREE",370.0,5.0,20.0,40.0,1.5,40.0,1
"CHEESE,CREAM,FAT FREE",105.0,1.0,12.0,7.66,5.48,15.69,1
"YOGURT,CHOC,NONFAT MILK",112.0,0.0,1.0,23.53,14.97,3.53,1
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276.0,21.0,75.0,9.2,6.7,12.0,1
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215.0,9.5,35.0,16.2,8.2,16.3,1
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,148.0,1.0,16.0,11.7,6.7,22.7,1
